date,ticker,open,high,low,close,volume,rv20_yz,rv60_yz,rv20_c2c,rv20_pctile
2024-08-22,NVDA,130.02,130.75,123.1,123.74,376189100,,,,
2024-08-23,NVDA,125.86,129.6,125.22,129.37,323230300,,,,
2024-08-26,NVDA,129.57,131.26,124.37,126.46,331964700,,,,
2024-08-27,NVDA,125.05,129.2,123.88,128.3,303134600,,,,
2024-08-28,NVDA,128.12,128.33,122.64,125.61,448101100,,,,
2024-08-29,NVDA,121.36,124.43,116.71,117.59,453023300,,,,
2024-08-30,NVDA,119.53,121.75,117.22,119.37,333751600,,,,
2024-09-03,NVDA,116.01,116.21,107.29,108.0,477155100,,,,
2024-09-04,NVDA,105.41,113.27,104.12,106.21,372470300,,,,
2024-09-05,NVDA,104.99,109.65,104.76,107.21,306850700,,,,
2024-09-06,NVDA,108.04,108.15,100.95,102.83,413638100,,,,
2024-09-09,NVDA,104.88,106.55,103.69,106.47,273912000,,,,
2024-09-10,NVDA,107.81,109.4,104.95,108.1,268283700,,,,
2024-09-11,NVDA,109.39,117.19,107.42,116.91,441422400,,,,
2024-09-12,NVDA,116.84,120.79,115.38,119.14,366052700,,,,
2024-09-13,NVDA,119.08,119.96,117.6,119.1,238358300,,,,
2024-09-16,NVDA,116.79,118.18,114.36,116.78,248772300,,,,
2024-09-17,NVDA,118.17,118.8,114.83,115.59,231925900,,,,
2024-09-18,NVDA,115.89,117.7,113.22,113.37,310318900,,,,
2024-09-19,NVDA,117.35,119.66,117.25,117.87,293506400,,,,
2024-09-20,NVDA,117.06,118.62,115.39,116.0,382462400,0.568046,,0.63317,
2024-09-23,NVDA,116.55,116.99,114.86,116.26,206228500,0.563022,,0.608201,
2024-09-24,NVDA,116.52,121.8,115.38,120.87,354966800,0.561351,,0.623952,
2024-09-25,NVDA,122.02,124.94,121.61,123.51,284692900,0.55785,,0.627005,
2024-09-26,NVDA,126.8,127.67,121.8,124.04,302582900,0.564034,,0.62312,
2024-09-27,NVDA,123.97,124.03,119.26,121.4,271009200,0.53693,,0.579752,
2024-09-30,NVDA,118.31,121.5,118.15,121.44,226553700,0.538762,,0.577579,
2024-10-01,NVDA,121.77,122.44,115.79,117.0,302094500,0.522247,,0.463742,
2024-10-02,NVDA,116.44,119.38,115.14,118.85,221845900,0.465106,,0.458782,
2024-10-03,NVDA,120.92,124.36,120.34,122.85,277118000,0.456492,,0.468973,
2024-10-04,NVDA,124.94,125.04,121.83,124.92,243678100,0.444683,,0.433298,
2024-10-07,NVDA,124.99,130.64,124.95,127.72,346250200,0.450652,,0.425871,
2024-10-08,NVDA,130.26,133.48,129.42,132.89,285722500,0.445133,,0.439182,
2024-10-09,NVDA,134.11,134.52,131.38,132.65,246191600,0.418199,,0.359443,
2024-10-10,NVDA,131.91,135.0,131.0,134.81,242311300,0.411427,,0.3583,
